site_id,product_id,week_start,forecast_units,method
S1,P1,2025-07-14,180,ARIMA
S1,P1,2025-07-21,180,ARIMA
S1,P1,2025-07-28,180,ARIMA
S1,P1,2025-08-04,180,ARIMA
S1,P1,2025-08-11,180,ARIMA
S1,P1,2025-08-18,180,ARIMA
S1,P1,2025-08-25,180,ARIMA
S1,P1,2025-09-01,180,ARIMA
S1,P1,2025-09-08,180,ARIMA
S1,P1,2025-09-15,180,ARIMA
S1,P1,2025-09-22,180,ARIMA
S1,P1,2025-09-29,180,ARIMA
S1,P1,2025-10-06,180,ARIMA
S1,P1,2025-10-13,180,ARIMA
S1,P1,2025-10-20,180,ARIMA
S1,P1,2025-10-27,180,ARIMA
S1,P1,2025-11-03,180,ARIMA
S1,P1,2025-11-10,180,ARIMA
S1,P1,2025-11-17,180,ARIMA
S1,P1,2025-11-24,180,ARIMA
S1,P1,2025-12-01,180,ARIMA
S1,P1,2025-12-08,180,ARIMA
S1,P1,2025-12-15,180,ARIMA
S1,P1,2025-12-22,180,ARIMA
S1,P1,2025-12-29,180,ARIMA
S1,P1,2026-01-05,180,ARIMA
S1,P1,2026-01-12,180,ARIMA
S1,P1,2026-01-19,180,ARIMA
S1,P1,2026-01-26,180,ARIMA
S1,P1,2026-02-02,180,ARIMA
S1,P1,2026-02-09,180,ARIMA
S1,P1,2026-02-16,180,ARIMA
S1,P1,2026-02-23,180,ARIMA
S1,P1,2026-03-02,180,ARIMA
S1,P1,2026-03-09,180,ARIMA
S1,P1,2026-03-16,180,ARIMA
S1,P1,2026-03-23,180,ARIMA
S1,P1,2026-03-30,180,ARIMA
S1,P1,2026-04-06,180,ARIMA
S1,P1,2026-04-13,180,ARIMA
S1,P1,2026-04-20,180,ARIMA
S1,P1,2026-04-27,180,ARIMA
S1,P1,2026-05-04,180,ARIMA
S1,P1,2026-05-11,180,ARIMA
S1,P1,2026-05-18,180,ARIMA
S1,P1,2026-05-25,180,ARIMA
S1,P1,2026-06-01,180,ARIMA
S1,P1,2026-06-08,180,ARIMA
S1,P1,2026-06-15,180,ARIMA
S1,P1,2026-06-22,180,ARIMA
S1,P1,2026-06-29,180,ARIMA
S1,P1,2026-07-06,180,ARIMA
S1,P2,2025-07-14,90,ARIMA
S1,P2,2025-07-21,90,ARIMA
S1,P2,2025-07-28,90,ARIMA
S1,P2,2025-08-04,90,ARIMA
S1,P2,2025-08-11,90,ARIMA
S1,P2,2025-08-18,90,ARIMA
S1,P2,2025-08-25,90,ARIMA
S1,P2,2025-09-01,90,ARIMA
S1,P2,2025-09-08,90,ARIMA
S1,P2,2025-09-15,90,ARIMA
S1,P2,2025-09-22,90,ARIMA
S1,P2,2025-09-29,90,ARIMA
S1,P2,2025-10-06,90,ARIMA
S1,P2,2025-10-13,90,ARIMA
S1,P2,2025-10-20,90,ARIMA
S1,P2,2025-10-27,90,ARIMA
S1,P2,2025-11-03,90,ARIMA
S1,P2,2025-11-10,90,ARIMA
S1,P2,2025-11-17,90,ARIMA
S1,P2,2025-11-24,90,ARIMA
S1,P2,2025-12-01,90,ARIMA
S1,P2,2025-12-08,90,ARIMA
S1,P2,2025-12-15,90,ARIMA
S1,P2,2025-12-22,90,ARIMA
S1,P2,2025-12-29,90,ARIMA
S1,P2,2026-01-05,90,ARIMA
S1,P2,2026-01-12,90,ARIMA
S1,P2,2026-01-19,90,ARIMA
S1,P2,2026-01-26,90,ARIMA
S1,P2,2026-02-02,90,ARIMA
S1,P2,2026-02-09,90,ARIMA
S1,P2,2026-02-16,90,ARIMA
S1,P2,2026-02-23,90,ARIMA
S1,P2,2026-03-02,90,ARIMA
S1,P2,2026-03-09,90,ARIMA
S1,P2,2026-03-16,90,ARIMA
S1,P2,2026-03-23,90,ARIMA
S1,P2,2026-03-30,90,ARIMA
S1,P2,2026-04-06,90,ARIMA
S1,P2,2026-04-13,90,ARIMA
S1,P2,2026-04-20,90,ARIMA
S1,P2,2026-04-27,90,ARIMA
S1,P2,2026-05-04,90,ARIMA
S1,P2,2026-05-11,90,ARIMA
S1,P2,2026-05-18,90,ARIMA
S1,P2,2026-05-25,90,ARIMA
S1,P2,2026-06-01,90,ARIMA
S1,P2,2026-06-08,90,ARIMA
